"ID","Description","Affected Status","Product","Source","Mutations","Sex","Age at Sampling","Race","Family","Relationship to Proband","Family Member Number"
GM18861,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y024,mother,2
GM19144,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y074,father,3
GM18859,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y012,father,3
GM18856,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y023,father,3
GM18523,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y016,mother,2
GM19223,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y058,father,3
GM18853,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y018,father,3
GM19138,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y043,father,3
GM19160,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y056,father,3
GM19152,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y072,mother,2
GM18501,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y004,father,3
GM18502,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y004,mother,2
GM18870,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y017,mother,2
GM18504,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y005,father,3
GM19240,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y117,child,1
GM18522,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y016,father,3
GM19128,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y077,father,3
GM18508,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y009,mother,2
